#TAXON,TAXID,NAME
species,1743015,Anguillid herpesvirus 2
species,1437365,Cyprinid herpesvirus
species,1312735,Cyprinid herpesvirus 12ITT-426
species,1551589,Cyprinid herpesvirus 4
species,2699769,Cyprinid herpesvirus 5
genus,3044698,Cyvirus
species,3050136,Cyvirus anguillidallo1
no rank,150286,Anguillid herpesvirus 1
species,3050269,Cyvirus cyprinidallo1
no rank,317858,Cyprinid herpesvirus 1
species,3050270,Cyvirus cyprinidallo2
no rank,317878,Cyprinid herpesvirus 2
no rank,1917197,Crucian carp herpesvirus
species,3050271,Cyvirus cyprinidallo3
no rank,180230,Cyprinid herpesvirus 3
genus,172653,Ictalurivirus
no rank,431038,unclassified Ictalurivirus
species,320885,Acipenserid herpesvirus 3
species,436014,Acipenserid herpesvirus isolate Canada
species,577567,Siberian sturgeon herpesvirus
species,1862332,Silurid herpesvirus 1
genus,3044737,Ictavirus
species,3050133,Ictavirus acipenseridallo2
no rank,320884,white sturgeon herpesvirus 2
species,3050301,Ictavirus ictaluridallo1
no rank,10401,Ictalurid herpesvirus 1
no rank,766178,Ictalurid herpesvirus 1 (strain Auburn)
species,3050302,Ictavirus ictaluridallo2
no rank,508441,black bullhead herpesvirus
genus,692607,Salmonivirus
no rank,1274366,unclassified Salmonivirus
species,1274367,Salmonid herpesvirus 4
species,1675309,Salmonid herpesvirus 5
genus,3044809,Salmovirus
species,3050351,Salmovirus salmonidallo1
no rank,67604,Salmonid herpesvirus 1
species,3050352,Salmovirus salmonidallo2
no rank,31771,Salmonid herpesvirus 2
species,3050353,Salmovirus salmonidallo3
no rank,508442,Salmonid herpesvirus 3
no rank,548684,unclassified Alloherpesviridae
species,320883,Acipenserid herpesvirus 1
species,568091,Ameiurid alloherpesvirus 1
species,1604019,Blue king crab herpesvirus 1
species,1862331,Esocid herpesvirus 1
species,3051972,Herpesvirus DDDp
species,2922427,Lake sturgeon herpesvirus
species,3023087,Lake sturgeon herpesvirus 2
species,3393362,Lake sturgeon herpesvirus 3
species,2219644,Percid herpesvirus 2
species,2978071,Silurid herpesvirus 2
species,2926576,Toitoi alloherpesvirus 1
family,10292,Herpesviridae
family,548685,Malacoherpesviridae
genus,1513230,Aurivirus
species,3050290,Aurivirus haliotidmalaco1
no rank,3416944,abalone herpesvirus
no rank,1241371,Abalone herpesvirus Victoria/AUS/2009
no rank,1513231,Haliotid herpesvirus 1
no rank,860344,Abalone herpesvirus Victoria/AUS/2007
genus,548686,Ostreavirus
species,3050331,Ostreavirus ostreidmalaco1
no rank,261939,Ostreid herpesvirus 1
no rank,654903,Ostreid herpesvirus 1 (isolate France)
no rank,860342,unclassified Malacoherpesviridae
species,741995,Chlamys acute necrobiotic virus
species,2983917,Crassostrea gigas virus OsHV-1
species,3031797,Malaco herpesvirus 1
species,3031798,Malaco herpesvirus 2
species,3031800,Malaco herpesvirus 4
family,3044472,Orthoherpesviridae
subfamily,10293,Alphaherpesvirinae
genus,180255,Iltovirus
species,3060047,Iltovirus cacatuidalpha2
no rank,2604840,Cacatuid alphaherpesvirus 2
species,3050286,Iltovirus gallidalpha1
no rank,10386,Gallid alphaherpesvirus 1
no rank,31521,Infectious laryngotracheitis virus (strain 632)
no rank,10343,Infectious laryngotracheitis virus (strain SA-2)
no rank,10344,Infectious laryngotracheitis virus (strain Thorne V882)
species,3050344,Iltovirus psittacidalpha1
no rank,50294,Psittacid alphaherpesvirus 1
no rank,670426,Psittacid herpesvirus 1 Amazon parrot/1997
species,3060048,Iltovirus psittacidalpha5
no rank,2972693,Psittacid alphaherpesvirus 5
no rank,342941,unclassified Iltovirus
species,690285,Gaviid herpesvirus 1
species,199702,Passerid herpesvirus 1
species,1643444,Phoenicopterid herpesvirus 1
genus,180252,Mardivirus
species,3049524,Mardivirus anatidalpha1
no rank,104388,anatid alphaherpesvirus 1
species,3050267,Mardivirus columbidalpha1
no rank,93386,Columbid alphaherpesvirus 1
no rank,1510155,Falconid herpesvirus 1
species,3050287,Mardivirus gallidalpha2
no rank,10390,Gallid alphaherpesvirus 2
no rank,1123959,Gallid herpesvirus 2 strain 814
no rank,10391,Gallid herpesvirus 2 strain FC126
no rank,10392,Gallid herpesvirus 2 strain H2
no rank,47302,Marek's disease gammaherpesvirus MKT-1
no rank,10388,Marek's disease herpesvirus strain GA
no rank,31527,Marek's disease herpesvirus (strain MD11/75C/R2)
no rank,33707,Marek's disease herpesvirus (strain RB-1b)
no rank,10387,Marek's disease herpesvirus type 1 strain BC-1
no rank,10389,Marek's disease herpesvirus type 1 strain MD5
no rank,1392386,Tasmanian devil herpesvirus 1
species,3050288,Mardivirus gallidalpha3
no rank,35250,Gallid alphaherpesvirus 3
no rank,36353,Marek's disease virus serotype 2 MDV2
species,3050320,Mardivirus meleagridalpha1
no rank,37108,Meleagrid alphaherpesvirus 1
species,3048326,Mardivirus spheniscidalpha1
no rank,2560777,Spheniscid alphaherpesvirus 1
no rank,1098912,unclassified Mardivirus
species,1098913,Phasianid herpesvirus 1
species,1890678,Spheniscid herpesvirus 2
genus,1232637,Scutavirus
species,3050262,Scutavirus chelonidalpha5
no rank,702736,Chelonid alphaherpesvirus 5
no rank,90959,Caretta caretta herpesvirus
no rank,90960,Chelonia mydas herpesvirus
no rank,256817,Fibropapilloma-associated turtle herpesvirus
no rank,179532,Fibropapillomatosis associated Chelonia mydas herpesvirus
no rank,70170,Green turtle herpesvirus
no rank,70565,Florida green turtle herpesvirus
no rank,70564,Hawaiian green turtle herpesvirus
no rank,70171,Loggerhead turtle herpesvirus
no rank,77836,Olive ridley turtle herpesvirus
species,3050360,Scutavirus testudinidalpha3
no rank,2560801,Testudinid alphaherpesvirus 3
genus,10294,Simplexvirus
species,3050138,Simplexvirus atelinealpha1
no rank,35243,Ateline alphaherpesvirus 1
species,3050244,Simplexvirus bovinealpha2
no rank,10295,Bovine alphaherpesvirus 2
no rank,10297,Bovine herpesvirus type 2 (strain BHM-1)
no rank,10296,Bovine herpesvirus type 2 (strain BMV)
species,3050256,Simplexvirus cercopithecinealpha2
no rank,10317,Cercopithecine alphaherpesvirus 2
species,3050292,Simplexvirus humanalpha1
no rank,10298,Human alphaherpesvirus 1
no rank,10299,Human alphaherpesvirus 1 strain 17
no rank,10300,Human alphaherpesvirus 1 strain A44
no rank,10301,Human alphaherpesvirus 1 strain Angelotti
no rank,10302,Human alphaherpesvirus 1 strain CL101
no rank,37106,Human alphaherpesvirus 1 strain CVG-2
no rank,10304,Human alphaherpesvirus 1 strain F
no rank,744249,Human alphaherpesvirus 1 strain H129
no rank,10303,Human alphaherpesvirus 1 strain HFEM
no rank,10305,Human alphaherpesvirus 1 strain HZT
no rank,10306,Human alphaherpesvirus 1 strain KOS
no rank,37107,Human alphaherpesvirus 1 strain MGH-10
no rank,10307,Human alphaherpesvirus 1 strain MP
no rank,10308,Human alphaherpesvirus 1 strain Patton
no rank,36345,Human alphaherpesvirus 1 strain R-15
no rank,36346,Human alphaherpesvirus 1 strain R19
no rank,946522,Human alphaherpesvirus 1 strain RH2
no rank,10309,Human alphaherpesvirus 1 strain SC16
species,3050293,Simplexvirus humanalpha2
no rank,10310,Human alphaherpesvirus 2
no rank,10312,Human herpesvirus 2 strain 186
no rank,10313,Human herpesvirus 2 strain 333
no rank,103921,Human herpesvirus 2 strain B4327UR
no rank,10314,Human herpesvirus 2 strain G
no rank,10315,Human herpesvirus 2 strain HG52
no rank,10316,Human herpesvirus 2 strain SA8
no rank,1177628,Human herpesvirus 2 strain SD90
no rank,213997,Human herpesvirus 2 strain SN03
no rank,213998,Human herpesvirus 2 strain SS01
no rank,213999,Human herpesvirus 2 strain ST04
species,3050304,Simplexvirus leporidalpha4
no rank,481315,Leporid alphaherpesvirus 4
species,3050305,Simplexvirus macacinealpha1
no rank,10325,Macacine alphaherpesvirus 1
no rank,260965,Cercopithecine herpesvirus 1 (strain E2490)
species,3050306,Simplexvirus macacinealpha2
no rank,2845554,Macacine alphaherpesvirus 2
species,3050307,Simplexvirus macacinealpha3
no rank,2845555,Macacine alphaherpesvirus 3
species,3050317,Simplexvirus macropodidalpha1
no rank,137443,Macropodid alphaherpesvirus 1
species,3050318,Simplexvirus macropodidalpha2
no rank,83440,Macropodid alphaherpesvirus 2
species,3060711,Simplexvirus macropodidalpha4
no rank,2762721,Macropodid alphaherpesvirus 4
species,3050333,Simplexvirus paninealpha3
no rank,2003507,Panine alphaherpesvirus 3
no rank,332937,Chimpanzee herpesvirus strain 105640
species,3050336,Simplexvirus papiinealpha2
no rank,340907,Papiine alphaherpesvirus 2
species,3050345,Simplexvirus pteropodidalpha1
no rank,1343901,Pteropodid alphaherpesvirus 1
species,3060712,Simplexvirus pteropodidalpha2
no rank,3118716,pteropodid alphaherpesvirus 2
species,3050348,Simplexvirus saimiriinealpha1
no rank,10353,Saimiriine alphaherpesvirus 1
no rank,342410,unclassified Simplexvirus
species,570421,Bat simplexvirus 1
species,570422,Eidolon dupraenum simplexvirus 1
species,570423,Eidolon helvum simplexvirus 1
species,126283,Herpes simplex virus unknown type
species,3344809,Herpes Simplexvirus
species,570424,Lonchophylla thomasi simplexvirus 1
species,570425,Pteropus lylei simplexvirus 1
species,1042528,Recombinant Human herpesvirus 03/10478
genus,10319,Varicellovirus
species,3050243,Varicellovirus bovinealpha1
no rank,10320,bovine alphaherpesvirus 1
no rank,10322,Bovine herpesvirus type 1 strain 6660
no rank,79889,Bovine herpesvirus type 1.1
no rank,31517,Bovine herpesvirus type 1.1 (strain 34)
no rank,10323,Bovine herpesvirus type 1.1 (strain Cooper)
no rank,31518,Bovine herpesvirus type 1.1 (strain Jura)
no rank,10324,Bovine herpesvirus type 1.1 (strain P8-2)
no rank,79890,Bovine herpesvirus type 1.2
no rank,1548190,Bovine herpesvirus type 1.2 strain B589
no rank,31519,Bovine herpesvirus type 1.2 strain K22
no rank,10321,Bovine herpesvirus type 1.2 strain Q3932
no rank,1548191,Bovine herpesvirus type 1.2 strain SM023
no rank,1548192,Bovine herpesvirus type 1.2 strain SP1777
no rank,45407,Bovine herpesvirus type 1.2 strain st
species,3050245,Varicellovirus bovinealpha5
no rank,35244,Bovine alphaherpesvirus 5
no rank,36350,Bovine herpesvirus 5 strain N569
no rank,263683,Bovine herpesvirus 5 strain TX89
no rank,171005,Buffalo herpesvirus 1
species,3050249,Varicellovirus bubalinealpha1
no rank,202910,Bubaline alphaherpesvirus 1
species,3050251,Varicellovirus canidalpha1
no rank,170325,Canid alphaherpesvirus 1
species,3050252,Varicellovirus caprinealpha1
no rank,39944,Caprine alphaherpesvirus 1
species,3050257,Varicellovirus cercopithecinealpha9
no rank,35246,Cercopithecine alphaherpesvirus 9
no rank,36348,Cercopithecine herpesvirus 9 (strain DHV)
species,3050259,Varicellovirus cervidalpha1
no rank,79891,Cervid alphaherpesvirus 1
species,3050260,Varicellovirus cervidalpha2
no rank,365327,Cervid alphaherpesvirus 2
species,3050261,Varicellovirus cervidalpha3
no rank,2115790,Cervid alphaherpesvirus 3
no rank,364634,Elk herpesvirus
species,3050276,Varicellovirus equidalpha1
no rank,10326,Equid alphaherpesvirus 1
no rank,310537,Equine herpesvirus 1 (strain HH1)
no rank,310273,Equine herpesvirus 1 (strain V592)
no rank,10327,Equine herpesvirus type 1 (isolate HSV25A)
no rank,10328,Equine herpesvirus type 1 (strain AB1)
no rank,31520,Equine herpesvirus type 1 (strain AB4P)
no rank,10329,Equine herpesvirus type 1 (strain Kentucky A)
no rank,10330,Equine herpesvirus type 1 (strain Kentucky D)
species,3050277,Varicellovirus equidalpha3
no rank,80341,Equid alphaherpesvirus 3
species,3050278,Varicellovirus equidalpha4
no rank,10331,Equid alphaherpesvirus 4
no rank,10333,Equine herpesvirus type 4 (strain 1942)
species,3050279,Varicellovirus equidalpha8
no rank,39637,Equid alphaherpesvirus 8
species,3050280,Varicellovirus equidalpha9
no rank,55744,Equid alphaherpesvirus 9
species,3050284,Varicellovirus felidalpha1
no rank,10334,Felid alphaherpesvirus 1
species,3050294,Varicellovirus humanalpha3
no rank,10335,Human alphaherpesvirus 3
no rank,10338,Human herpesvirus 3 strain Dumas
no rank,341980,Human herpesvirus 3 strain Oka vaccine
no rank,154633,Human herpesvirus 3 VZV-32
species,3050322,Varicellovirus monodontidalpha1
no rank,2560599,Monodontid alphaherpesvirus 1
no rank,1434720,Beluga whale alphaherpesvirus 1
species,3050340,Varicellovirus phocidalpha1
no rank,47418,Phocid alphaherpesvirus 1
species,3050355,Varicellovirus suidalpha1
no rank,10345,Suid alphaherpesvirus 1
no rank,101947,Pseudorabies virus Ea
no rank,1006205,Suid herpesvirus 1 strain Bartha
no rank,10346,Suid herpesvirus 1 strain Becker
no rank,31522,Suid herpesvirus 1 (strain Indiana S)
no rank,31523,Suid herpesvirus 1 (strain Indiana-Funkhauser / Becker)
no rank,33703,Suid herpesvirus 1 strain Kaplan
no rank,10349,Suid herpesvirus 1 (strain NIA-3)
no rank,10350,Suid herpesvirus 1 (strain Rice)
no rank,167786,Suid herpesvirus 1 (strain TNL)
no rank,342940,unclassified Varicellovirus
species,467028,Elk herpesvirus 1
species,173566,Equid herpesvirus 6
species,862244,Equine herpesvirus Gazella/6755/NLD/2009
no rank,35247,unclassified Alphaherpesvirinae
species,3080522,Anatid alphaherpesvirus 2
species,3233541,Anatid alphaherpesvirus 3
species,3129244,Ardenna gravis alphaherpesvirus
species,1758211,Balaenoptera physalus alphaherpesvirus
species,3384751,Balaenopterid alphaherpesvirus
species,3058372,Balaenopterid alphaherpesvirus 2
species,1982744,Beluga whale alphaherpesvirus
species,2760740,Bonobo alphaherpesvirus
species,2115842,Cacatuid alphaherpesvirus 1
species,3129245,Calonectris borealis alphaherpesvirus
species,2599603,Cervid alphaherpesvirus 4
species,1954377,Cetacean alphaherpesvirus
species,1481141,Cetacean alphaherpesvirus Sc_ENoAt
species,3419753,Charadrius alphaherpesvirus 1
species,702738,Chelonid alphaherpesvirus 6
no rank,203820,lung-eye-trachea disease-associated herpesvirus
species,690691,Common buzzard alphaherpesvirus
species,3435564,Darwin's finch alphaherpesvirus 1
species,3435565,Darwin's finch alphaherpesvirus 2
species,3435566,Darwin's finch alphaherpesvirus 3
species,1982743,Delphinapterus leucas alphaherpesvirus
species,3022177,Delphinid alphaherpesvirus
species,672018,Delphinid herpesvirus 2
species,672019,Delphinid herpesvirus 8
species,1758214,Delphinus delphis alphaherpesvirus
species,3028788,Dolichotine alphaherpesvirus 1
species,1485966,Dolphin herpesvirus V3528
species,1495287,Emydid herpesvirus 1
species,655486,False killer whale alphaherpesvirus
species,576892,Fregata magnificens herpesvirus
species,172930,Gerrhosaurid herpesvirus 1
species,172931,Gerrhosaurid herpesvirus 2
species,172932,Gerrhosaurid herpesvirus 3
species,1758215,Grampus griseus alphaherpesvirus
species,1746170,Helodermatid herpesvirus 1
species,2942217,Indotestudo elongata herpesvirus
species,2909269,Iniid alphaherpesvirus 1
species,527213,Lacerta viridis herpesvirus 1
species,1232896,Lagenorhynchus alphaherpesvirus 1
species,3068940,Lontra longicaudis alphaherpesvirus
species,1282341,Macropodid herpesvirus 4
species,1834529,Marten alphaherpesvirus
species,2706556,Marten alphaherpesvirus 1
species,2706557,Marten alphaherpesvirus 2
species,3037243,Megaptera novaeangliae alphaherpesvirus
species,2982300,Meleagrid alphaherpesvirus 2
species,655487,Melon-headed whale alphaherpesvirus
species,2860270,Mesoplodon bidens alphaherpesvirus
species,2860271,Mesoplodon densirostris alphaherpesvirus
species,2860272,Mesoplodon europaeus alphaherpesvirus
species,3022429,Monodontid alphaherpesvirus 2
species,2760741,Mountain gorilla alphaherpesvirus
species,2026363,Mule deer alphaherpesvirus
species,2015379,Mustelid alphaherpesvirus 1
species,2086349,Neotropic cormorant herpesvirus
species,2737701,Onychoprion fuscatus alphaherpesvirus 1
species,2321065,Opheodrys herpes virus 1
species,2859764,Otariid alphaherpesvirus 1
species,1770252,Penguin herpesvirus 2
species,2864869,Phascolarctid alphaherpesvirus 3
species,1809460,Phocoena phocoena herpesvirus type 2
species,1809459,Phocoena phocoena herpesvirus type 3
species,2115843,Podargid alphaherpesvirus 1
species,3042376,Psittacid alphaherpesvirus 6
species,3031173,Pyxis alphaherpesvirus 1
species,79892,Rangiferine herpesvirus 1
species,540567,Rock hyrax herpesvirus HDZ 2007
species,3068943,Sotalia guianensis alphaherpesvirus
species,3134033,Spheniscid alphaherpesvirus 2
species,3135647,Stenella coeruleoalba alphaherpesvirus
species,1758216,Stenella coeruleoalba alphaherpesvirus 1
species,1758217,Stenella coeruleoalba alphaherpesvirus 2
species,2212646,Stenella frontalis alphaherpesvirus
species,2171489,Strigid herpesvirus 1
species,3422657,Strigiid Alphaherpesvirus 2
species,1638619,Sulid herpesvirus 1
species,2942218,Terrapene alphaherpesvirus 3
species,1582275,Terrapene herpesvirus 2
species,2966553,Testudinid alphaherpesvirus 1
species,3077833,Tetrao urogallus alphaherpesvirus 1
species,656191,Tortoise Herpesvirus 4
species,2936981,Turdid alphaherpesvirus 1
species,3135649,Tursiops truncatus alphaherpesvirus
species,291829,Tursiops truncatus alphaherpesvirus 1
species,360198,Tursiops truncatus alphaherpesvirus 2
species,360199,Tursiops truncatus alphaherpesvirus 3
species,285986,Vulture herpesvirus
species,2717850,Walrus alphaherpesvirus 1
species,2860273,Ziphius cavirostris alphaherpesvirus
species,1758218,Ziphius cavirostris alphaherpesvirus 1
species,1758212,Ziphius cavirostris alphaherpesvirus 2
species,2494334,Alphaherpesvirinae sp.
species,3422296,Alphaherpesvirinae sp. 8jo_Mn-blow alpha-HV
subfamily,10357,Betaherpesvirinae
genus,10358,Cytomegalovirus
species,3050137,Cytomegalovirus aotinebeta1
no rank,50290,Aotine betaherpesvirus 1
species,3050255,Cytomegalovirus cebinebeta1
no rank,1125844,Cebine betaherpesvirus 1
species,3050258,Cytomegalovirus cercopithecinebeta5
no rank,50292,Cercopithecine betaherpesvirus 5
no rank,1667587,Papio ursinus cytomegalovirus
no rank,10364,Simian cytomegalovirus
no rank,36452,Stealth virus 1
no rank,172584,Vervet cytomegalovirus CSG
species,3050295,Cytomegalovirus humanbeta5
no rank,10359,Human betaherpesvirus 5
no rank,69162,Human herpesvirus 5 (strain 1042)
no rank,73483,Human herpesvirus 5 (strain 119)
no rank,69163,Human herpesvirus 5 (strain 2387)
no rank,69164,Human herpesvirus 5 (strain 4654)
no rank,69166,Human herpesvirus 5 (strain 5035)
no rank,69165,Human herpesvirus 5 strain 5040
no rank,69167,Human herpesvirus 5 strain 5160
no rank,69168,Human herpesvirus 5 strain 5508
no rank,10360,Human herpesvirus 5 strain AD169
no rank,10361,Human herpesvirus 5 strain Colburn
no rank,10362,Human herpesvirus 5 strain Eisenhardt
no rank,295027,Human herpesvirus 5 strain Merlin
no rank,69169,Human herpesvirus 5 strain PT
no rank,311339,Human herpesvirus 5 strain Toledo
no rank,10363,Human herpesvirus 5 strain Towne
species,3050308,Cytomegalovirus macacinebeta3
no rank,1690255,Cynomolgus macaque cytomegalovirus strain Mauritius
no rank,47929,macacine betaherpesvirus 3
no rank,2798299,Rhesus cytomegalovirus strain 68-1.2
no rank,2798300,Rhesus cytomegalovirus strain 68-1_FL
species,3050309,Cytomegalovirus macacinebeta8
no rank,2560567,macacine betaherpesvirus 8
no rank,944969,Cynomolgus macaque cytomegalovirus strain Ottawa
species,3050319,Cytomegalovirus mandrillinebeta1
no rank,2560581,Mandrilline betaherpesvirus 1
no rank,1654930,Mandrillus leucophaeus cytomegalovirus
species,3050334,Cytomegalovirus paninebeta2
no rank,188763,Panine betaherpesvirus 2
species,3050337,Cytomegalovirus papiinebeta3
no rank,2169863,Papiine betaherpesvirus 3
species,3050338,Cytomegalovirus papiinebeta4
no rank,2560624,Papiine betaherpesvirus 4
species,3050349,Cytomegalovirus saimiriinebeta4
no rank,1535247,Saimiriine betaherpesvirus 4
no rank,342596,unclassified Cytomegalovirus
species,1881000,Alouatta macconnelli cytomegalovirus
species,1881001,Alouatta palliata cytomegalovirus
species,1881002,Alouatta seniculus cytomegalovirus
species,643650,Aotine herpesvirus 2
species,1881003,Aotus nancymaae cytomegalovirus
species,1881004,Aotus vociferans cytomegalovirus
species,431616,Apodemus flavicollis cytomegalovirus 1
species,431617,Apodemus flavicollis cytomegalovirus 2
species,456833,Apodemus flavicollis cytomegalovirus 3
species,431619,Apodemus sylvaticus cytomegalovirus 1
species,431620,Arvicola terrestris cytomegalovirus 1
species,1881005,Ateles paniscus cytomegalovirus
species,120505,Baboon cytomegalovirus
species,431621,Bandicota indica cytomegalovirus 1
species,431622,Bandicota indica cytomegalovirus 2
species,431623,Bandicota indica cytomegalovirus 3
species,431624,Bandicota indica cytomegalovirus 4
species,1881006,Cebus albifrons cytomegalovirus
species,1881012,Cebus apella cytomegalovirus
species,1881007,Cebus capucinus cytomegalovirus
species,291823,Cercocebus agilis cytomegalovirus 1
species,2071318,Cercocebus atys cytomegalovirus 1
species,2071319,Cercocebus atys cytomegalovirus 2
species,2071320,Cercopithecus atys cytomegalovirus 2
species,2071321,Cercopithecus atys cytomegalovirus 3
species,2071322,Cercopithecus campbelli cytomegalovirus 1
species,2071323,Cercopithecus campbelli cytomegalovirus 2
species,308706,Cercopithecus cephus cytomegalovirus 1
species,2071324,Cercopithecus diana cytomegalovirus 1
species,1869107,Cercopithecus kandti cytomegalovirus
species,203137,Colobus badius cytomegalovirus 1
species,203139,Colobus guereza cytomegalovirus 1
